country,year,month,month_num,category,events,fatalities
Egypt,1997,January,1,civilian_targeting,2,2
Egypt,1997,February,2,civilian_targeting,2,12
Egypt,1997,March,3,civilian_targeting,2,14
Egypt,1997,April,4,civilian_targeting,1,2
Egypt,1997,May,5,civilian_targeting,0,0
Egypt,1997,June,6,civilian_targeting,0,0
Egypt,1997,July,7,civilian_targeting,0,0
Egypt,1997,August,8,civilian_targeting,1,1
Egypt,1997,September,9,civilian_targeting,3,16
Egypt,1997,October,10,civilian_targeting,0,0
Egypt,1997,November,11,civilian_targeting,2,63
Egypt,1997,December,12,civilian_targeting,0,0
Egypt,1998,January,1,civilian_targeting,0,0
Egypt,1998,February,2,civilian_targeting,0,0
Egypt,1998,March,3,civilian_targeting,2,8
Egypt,1998,April,4,civilian_targeting,1,2
Egypt,1998,May,5,civilian_targeting,0,0
Egypt,1998,June,6,civilian_targeting,0,0
Egypt,1998,July,7,civilian_targeting,0,0
Egypt,1998,August,8,civilian_targeting,1,0
Egypt,1998,September,9,civilian_targeting,0,0
Egypt,1998,October,10,civilian_targeting,0,0
Egypt,1998,November,11,civilian_targeting,0,0
Egypt,1998,December,12,civilian_targeting,0,0
Egypt,1999,January,1,civilian_targeting,1,1
Egypt,1999,February,2,civilian_targeting,0,0
Egypt,1999,March,3,civilian_targeting,0,0
Egypt,1999,April,4,civilian_targeting,0,0
Egypt,1999,May,5,civilian_targeting,0,0
Egypt,1999,June,6,civilian_targeting,0,0
Egypt,1999,July,7,civilian_targeting,0,0
Egypt,1999,August,8,civilian_targeting,0,0
Egypt,1999,September,9,civilian_targeting,1,1
Egypt,1999,October,10,civilian_targeting,0,0
Egypt,1999,November,11,civilian_targeting,0,0
Egypt,1999,December,12,civilian_targeting,0,0
Egypt,2000,January,1,civilian_targeting,0,0
Egypt,2000,February,2,civilian_targeting,0,0
Egypt,2000,March,3,civilian_targeting,0,0
Egypt,2000,April,4,civilian_targeting,0,0
Egypt,2000,May,5,civilian_targeting,0,0
Egypt,2000,June,6,civilian_targeting,0,0
Egypt,2000,July,7,civilian_targeting,0,0
Egypt,2000,August,8,civilian_targeting,0,0
Egypt,2000,September,9,civilian_targeting,0,0
Egypt,2000,October,10,civilian_targeting,2,1
Egypt,2000,November,11,civilian_targeting,4,5
Egypt,2000,December,12,civilian_targeting,0,0
Egypt,2001,January,1,civilian_targeting,0,0
Egypt,2001,February,2,civilian_targeting,1,0
Egypt,2001,March,3,civilian_targeting,1,0
Egypt,2001,April,4,civilian_targeting,0,0
Egypt,2001,May,5,civilian_targeting,0,0
Egypt,2001,June,6,civilian_targeting,1,0
Egypt,2001,July,7,civilian_targeting,0,0
Egypt,2001,August,8,civilian_targeting,0,0
Egypt,2001,September,9,civilian_targeting,0,0
Egypt,2001,October,10,civilian_targeting,0,0
Egypt,2001,November,11,civilian_targeting,0,0
Egypt,2001,December,12,civilian_targeting,0,0
Egypt,2002,January,1,civilian_targeting,0,0
Egypt,2002,February,2,civilian_targeting,0,0
Egypt,2002,March,3,civilian_targeting,1,0
Egypt,2002,April,4,civilian_targeting,1,1
Egypt,2002,May,5,civilian_targeting,0,0
Egypt,2002,June,6,civilian_targeting,0,0
Egypt,2002,July,7,civilian_targeting,0,0
Egypt,2002,August,8,civilian_targeting,0,0
Egypt,2002,September,9,civilian_targeting,0,0
Egypt,2002,October,10,civilian_targeting,0,0
Egypt,2002,November,11,civilian_targeting,0,0
Egypt,2002,December,12,civilian_targeting,0,0
Egypt,2003,January,1,civilian_targeting,0,0
Egypt,2003,February,2,civilian_targeting,0,0
Egypt,2003,March,3,civilian_targeting,0,0
Egypt,2003,April,4,civilian_targeting,0,0
Egypt,2003,May,5,civilian_targeting,0,0
Egypt,2003,June,6,civilian_targeting,0,0
Egypt,2003,July,7,civilian_targeting,0,0
Egypt,2003,August,8,civilian_targeting,0,0
Egypt,2003,September,9,civilian_targeting,0,0
Egypt,2003,October,10,civilian_targeting,0,0
Egypt,2003,November,11,civilian_targeting,0,0
Egypt,2003,December,12,civilian_targeting,0,0
Egypt,2004,January,1,civilian_targeting,0,0
Egypt,2004,February,2,civilian_targeting,0,0
Egypt,2004,March,3,civilian_targeting,0,0
Egypt,2004,April,4,civilian_targeting,0,0
Egypt,2004,May,5,civilian_targeting,0,0
Egypt,2004,June,6,civilian_targeting,0,0
Egypt,2004,July,7,civilian_targeting,0,0
Egypt,2004,August,8,civilian_targeting,0,0
Egypt,2004,September,9,civilian_targeting,0,0
Egypt,2004,October,10,civilian_targeting,1,28
Egypt,2004,November,11,civilian_targeting,0,0
Egypt,2004,December,12,civilian_targeting,0,0
Egypt,2005,January,1,civilian_targeting,0,0
Egypt,2005,February,2,civilian_targeting,0,0
Egypt,2005,March,3,civilian_targeting,0,0
Egypt,2005,April,4,civilian_targeting,2,4
Egypt,2005,May,5,civilian_targeting,0,0
Egypt,2005,June,6,civilian_targeting,0,0
Egypt,2005,July,7,civilian_targeting,1,88
Egypt,2005,August,8,civilian_targeting,0,0
Egypt,2005,September,9,civilian_targeting,0,0
Egypt,2005,October,10,civilian_targeting,0,0
Egypt,2005,November,11,civilian_targeting,1,0
Egypt,2005,December,12,civilian_targeting,7,10
Egypt,2006,January,1,civilian_targeting,0,0
Egypt,2006,February,2,civilian_targeting,0,0
Egypt,2006,March,3,civilian_targeting,0,0
Egypt,2006,April,4,civilian_targeting,1,24
Egypt,2006,May,5,civilian_targeting,0,0
Egypt,2006,June,6,civilian_targeting,0,0
Egypt,2006,July,7,civilian_targeting,0,0
Egypt,2006,August,8,civilian_targeting,0,0
Egypt,2006,September,9,civilian_targeting,0,0
Egypt,2006,October,10,civilian_targeting,0,0
Egypt,2006,November,11,civilian_targeting,0,0
Egypt,2006,December,12,civilian_targeting,0,0
Egypt,2007,January,1,civilian_targeting,0,0
Egypt,2007,February,2,civilian_targeting,0,0
Egypt,2007,March,3,civilian_targeting,0,0
Egypt,2007,April,4,civilian_targeting,0,0
Egypt,2007,May,5,civilian_targeting,0,0
Egypt,2007,June,6,civilian_targeting,0,0
Egypt,2007,July,7,civilian_targeting,1,0
Egypt,2007,August,8,civilian_targeting,0,0
Egypt,2007,September,9,civilian_targeting,0,0
Egypt,2007,October,10,civilian_targeting,0,0
Egypt,2007,November,11,civilian_targeting,0,0
Egypt,2007,December,12,civilian_targeting,0,0
Egypt,2008,January,1,civilian_targeting,2,3
Egypt,2008,February,2,civilian_targeting,1,1
Egypt,2008,March,3,civilian_targeting,6,5
Egypt,2008,April,4,civilian_targeting,1,1
Egypt,2008,May,5,civilian_targeting,2,2
Egypt,2008,June,6,civilian_targeting,1,1
Egypt,2008,July,7,civilian_targeting,2,2
Egypt,2008,August,8,civilian_targeting,2,2
Egypt,2008,September,9,civilian_targeting,2,2
Egypt,2008,October,10,civilian_targeting,1,1
Egypt,2008,November,11,civilian_targeting,1,1
Egypt,2008,December,12,civilian_targeting,0,0
Egypt,2009,January,1,civilian_targeting,1,0
Egypt,2009,February,2,civilian_targeting,2,0
Egypt,2009,March,3,civilian_targeting,0,0
Egypt,2009,April,4,civilian_targeting,2,2
Egypt,2009,May,5,civilian_targeting,2,1
Egypt,2009,June,6,civilian_targeting,2,2
Egypt,2009,July,7,civilian_targeting,1,1
Egypt,2009,August,8,civilian_targeting,0,0
Egypt,2009,September,9,civilian_targeting,3,6
Egypt,2009,October,10,civilian_targeting,2,0
Egypt,2009,November,11,civilian_targeting,1,0
Egypt,2009,December,12,civilian_targeting,2,1
Egypt,2010,January,1,civilian_targeting,8,8
Egypt,2010,February,2,civilian_targeting,8,6
Egypt,2010,March,3,civilian_targeting,2,3
Egypt,2010,April,4,civilian_targeting,4,10
Egypt,2010,May,5,civilian_targeting,5,6
Egypt,2010,June,6,civilian_targeting,10,6
Egypt,2010,July,7,civilian_targeting,5,11
Egypt,2010,August,8,civilian_targeting,2,8
Egypt,2010,September,9,civilian_targeting,3,3
Egypt,2010,October,10,civilian_targeting,1,1
Egypt,2010,November,11,civilian_targeting,2,0
Egypt,2010,December,12,civilian_targeting,0,0
Egypt,2011,January,1,civilian_targeting,15,30
Egypt,2011,February,2,civilian_targeting,21,8
Egypt,2011,March,3,civilian_targeting,9,62
Egypt,2011,April,4,civilian_targeting,3,4
Egypt,2011,May,5,civilian_targeting,4,5
Egypt,2011,June,6,civilian_targeting,3,4
Egypt,2011,July,7,civilian_targeting,14,6
Egypt,2011,August,8,civilian_targeting,7,3
Egypt,2011,September,9,civilian_targeting,7,1
Egypt,2011,October,10,civilian_targeting,9,43
Egypt,2011,November,11,civilian_targeting,15,6
Egypt,2011,December,12,civilian_targeting,8,1
Egypt,2012,January,1,civilian_targeting,5,2
Egypt,2012,February,2,civilian_targeting,1,0
Egypt,2012,March,3,civilian_targeting,0,0
Egypt,2012,April,4,civilian_targeting,0,0
Egypt,2012,May,5,civilian_targeting,4,11
Egypt,2012,June,6,civilian_targeting,4,2
Egypt,2012,July,7,civilian_targeting,7,2
Egypt,2012,August,8,civilian_targeting,1,0
Egypt,2012,September,9,civilian_targeting,3,0
Egypt,2012,October,10,civilian_targeting,9,0
Egypt,2012,November,11,civilian_targeting,6,6
Egypt,2012,December,12,civilian_targeting,5,2
Egypt,2013,January,1,civilian_targeting,5,1
Egypt,2013,February,2,civilian_targeting,22,10
Egypt,2013,March,3,civilian_targeting,32,13
Egypt,2013,April,4,civilian_targeting,9,5
Egypt,2013,May,5,civilian_targeting,8,4
Egypt,2013,June,6,civilian_targeting,17,12
Egypt,2013,July,7,civilian_targeting,40,41
Egypt,2013,August,8,civilian_targeting,30,547
Egypt,2013,September,9,civilian_targeting,20,17
Egypt,2013,October,10,civilian_targeting,11,8
Egypt,2013,November,11,civilian_targeting,11,3
Egypt,2013,December,12,civilian_targeting,11,2
Egypt,2014,January,1,civilian_targeting,26,10
Egypt,2014,February,2,civilian_targeting,6,4
Egypt,2014,March,3,civilian_targeting,15,5
Egypt,2014,April,4,civilian_targeting,6,1
Egypt,2014,May,5,civilian_targeting,12,7
Egypt,2014,June,6,civilian_targeting,18,9
Egypt,2014,July,7,civilian_targeting,14,18
Egypt,2014,August,8,civilian_targeting,20,13
Egypt,2014,September,9,civilian_targeting,14,12
Egypt,2014,October,10,civilian_targeting,16,13
Egypt,2014,November,11,civilian_targeting,17,20
Egypt,2014,December,12,civilian_targeting,10,9
Egypt,2015,January,1,civilian_targeting,36,42
Egypt,2015,February,2,civilian_targeting,24,47
Egypt,2015,March,3,civilian_targeting,11,12
Egypt,2015,April,4,civilian_targeting,23,25
Egypt,2015,May,5,civilian_targeting,31,21
Egypt,2015,June,6,civilian_targeting,28,20
Egypt,2015,July,7,civilian_targeting,17,21
Egypt,2015,August,8,civilian_targeting,19,30
Egypt,2015,September,9,civilian_targeting,13,17
Egypt,2015,October,10,civilian_targeting,14,228
Egypt,2015,November,11,civilian_targeting,23,25
Egypt,2015,December,12,civilian_targeting,16,10
Egypt,2016,January,1,civilian_targeting,14,9
Egypt,2016,February,2,civilian_targeting,22,12
Egypt,2016,March,3,civilian_targeting,8,15
Egypt,2016,April,4,civilian_targeting,7,3
Egypt,2016,May,5,civilian_targeting,9,9
Egypt,2016,June,6,civilian_targeting,12,13
Egypt,2016,July,7,civilian_targeting,13,10
Egypt,2016,August,8,civilian_targeting,6,7
Egypt,2016,September,9,civilian_targeting,12,13
Egypt,2016,October,10,civilian_targeting,18,21
Egypt,2016,November,11,civilian_targeting,16,17
Egypt,2016,December,12,civilian_targeting,1,30
Egypt,2017,January,1,civilian_targeting,3,14
Egypt,2017,February,2,civilian_targeting,16,20
Egypt,2017,March,3,civilian_targeting,7,7
Egypt,2017,April,4,civilian_targeting,16,72
Egypt,2017,May,5,civilian_targeting,10,39
Egypt,2017,June,6,civilian_targeting,5,8
Egypt,2017,July,7,civilian_targeting,3,4
Egypt,2017,August,8,civilian_targeting,0,0
Egypt,2017,September,9,civilian_targeting,5,11
Egypt,2017,October,10,civilian_targeting,8,10
Egypt,2017,November,11,civilian_targeting,5,312
Egypt,2017,December,12,civilian_targeting,5,14
Egypt,2018,January,1,civilian_targeting,11,13
Egypt,2018,February,2,civilian_targeting,1,0
Egypt,2018,March,3,civilian_targeting,3,1
Egypt,2018,April,4,civilian_targeting,0,0
Egypt,2018,May,5,civilian_targeting,2,5
Egypt,2018,June,6,civilian_targeting,7,7
Egypt,2018,July,7,civilian_targeting,0,0
Egypt,2018,August,8,civilian_targeting,4,2
Egypt,2018,September,9,civilian_targeting,3,4
Egypt,2018,October,10,civilian_targeting,6,8
Egypt,2018,November,11,civilian_targeting,10,10
Egypt,2018,December,12,civilian_targeting,12,12
Egypt,2019,January,1,civilian_targeting,15,2
Egypt,2019,February,2,civilian_targeting,8,9
Egypt,2019,March,3,civilian_targeting,11,2
Egypt,2019,April,4,civilian_targeting,6,6
Egypt,2019,May,5,civilian_targeting,7,7
Egypt,2019,June,6,civilian_targeting,12,20
Egypt,2019,July,7,civilian_targeting,11,10
Egypt,2019,August,8,civilian_targeting,8,28
Egypt,2019,September,9,civilian_targeting,8,7
Egypt,2019,October,10,civilian_targeting,14,19
Egypt,2019,November,11,civilian_targeting,6,1
Egypt,2019,December,12,civilian_targeting,11,3
Egypt,2020,January,1,civilian_targeting,11,7
Egypt,2020,February,2,civilian_targeting,6,4
Egypt,2020,March,3,civilian_targeting,9,18
Egypt,2020,April,4,civilian_targeting,5,4
Egypt,2020,May,5,civilian_targeting,10,9
Egypt,2020,June,6,civilian_targeting,6,1
Egypt,2020,July,7,civilian_targeting,11,7
Egypt,2020,August,8,civilian_targeting,11,7
Egypt,2020,September,9,civilian_targeting,8,6
Egypt,2020,October,10,civilian_targeting,10,16
Egypt,2020,November,11,civilian_targeting,7,1
Egypt,2020,December,12,civilian_targeting,8,8
Egypt,2021,January,1,civilian_targeting,16,10
Egypt,2021,February,2,civilian_targeting,7,4
Egypt,2021,March,3,civilian_targeting,9,13
Egypt,2021,April,4,civilian_targeting,9,10
Egypt,2021,May,5,civilian_targeting,6,4
Egypt,2021,June,6,civilian_targeting,3,0
Egypt,2021,July,7,civilian_targeting,0,0
Egypt,2021,August,8,civilian_targeting,4,3
Egypt,2021,September,9,civilian_targeting,1,0
Egypt,2021,October,10,civilian_targeting,1,0
Egypt,2021,November,11,civilian_targeting,2,0
Egypt,2021,December,12,civilian_targeting,8,7
Egypt,2022,January,1,civilian_targeting,5,0
Egypt,2022,February,2,civilian_targeting,6,2
Egypt,2022,March,3,civilian_targeting,6,5
Egypt,2022,April,4,civilian_targeting,8,11
Egypt,2022,May,5,civilian_targeting,2,0
Egypt,2022,June,6,civilian_targeting,4,3
Egypt,2022,July,7,civilian_targeting,6,3
Egypt,2022,August,8,civilian_targeting,11,8
Egypt,2022,September,9,civilian_targeting,4,3
Egypt,2022,October,10,civilian_targeting,0,0
Egypt,2022,November,11,civilian_targeting,0,0
Egypt,2022,December,12,civilian_targeting,4,0
Egypt,2023,January,1,civilian_targeting,0,0
Egypt,2023,February,2,civilian_targeting,0,0
Egypt,2023,March,3,civilian_targeting,3,3
Egypt,2023,April,4,civilian_targeting,1,0
Egypt,2023,May,5,civilian_targeting,2,1
Egypt,2023,June,6,civilian_targeting,2,7
Egypt,2023,July,7,civilian_targeting,3,2
Egypt,2023,August,8,civilian_targeting,3,2
Egypt,2023,September,9,civilian_targeting,1,1
Egypt,2023,October,10,civilian_targeting,4,3
Egypt,2023,November,11,civilian_targeting,1,0
Egypt,2023,December,12,civilian_targeting,1,0
Egypt,2024,January,1,civilian_targeting,1,5
Egypt,2024,February,2,civilian_targeting,2,2
Egypt,2024,March,3,civilian_targeting,3,0
Egypt,2024,April,4,civilian_targeting,5,2
Egypt,2024,May,5,civilian_targeting,3,2
Egypt,2024,June,6,civilian_targeting,1,0
Egypt,2024,July,7,civilian_targeting,4,0
Egypt,2024,August,8,civilian_targeting,1,1
Egypt,2024,September,9,civilian_targeting,3,0
Egypt,2024,October,10,civilian_targeting,1,1
Egypt,2024,November,11,civilian_targeting,1,0
Egypt,2024,December,12,civilian_targeting,4,4
Egypt,2025,January,1,civilian_targeting,0,0
Egypt,2025,February,2,civilian_targeting,1,0
Egypt,2025,March,3,civilian_targeting,5,0
Egypt,2025,April,4,civilian_targeting,2,3
Egypt,2025,May,5,civilian_targeting,3,5
Egypt,2025,June,6,civilian_targeting,0,0
Egypt,2025,July,7,civilian_targeting,1,1
Egypt,2025,August,8,civilian_targeting,7,6
Egypt,2025,September,9,civilian_targeting,4,13
Egypt,2025,October,10,civilian_targeting,4,3
Egypt,2025,November,11,civilian_targeting,1,0
Egypt,2025,December,12,civilian_targeting,2,2
Egypt,2026,January,1,civilian_targeting,5,2
Egypt,2026,February,2,civilian_targeting,4,2
Egypt,2026,March,3,civilian_targeting,1,0
Egypt,2026,April,4,civilian_targeting,0,0
Egypt,2026,May,5,civilian_targeting,3,2
Egypt,2026,June,6,civilian_targeting,3,0
Egypt,2026,July,7,civilian_targeting,3,1
Egypt,2026,August,8,civilian_targeting,4,10
Egypt,2026,September,9,civilian_targeting,1,0
Egypt,1997,January,1,demonstrations,0,
Egypt,1997,February,2,demonstrations,0,
Egypt,1997,March,3,demonstrations,2,
Egypt,1997,April,4,demonstrations,0,
Egypt,1997,May,5,demonstrations,0,
Egypt,1997,June,6,demonstrations,2,
Egypt,1997,July,7,demonstrations,4,
Egypt,1997,August,8,demonstrations,0,
Egypt,1997,September,9,demonstrations,0,
Egypt,1997,October,10,demonstrations,0,
Egypt,1997,November,11,demonstrations,0,
Egypt,1997,December,12,demonstrations,0,
Egypt,1998,January,1,demonstrations,0,
Egypt,1998,February,2,demonstrations,0,
Egypt,1998,March,3,demonstrations,0,
Egypt,1998,April,4,demonstrations,1,
Egypt,1998,May,5,demonstrations,0,
Egypt,1998,June,6,demonstrations,0,
Egypt,1998,July,7,demonstrations,0,
Egypt,1998,August,8,demonstrations,0,
Egypt,1998,September,9,demonstrations,0,
Egypt,1998,October,10,demonstrations,0,
Egypt,1998,November,11,demonstrations,0,
Egypt,1998,December,12,demonstrations,7,
Egypt,1999,January,1,demonstrations,0,
Egypt,1999,February,2,demonstrations,1,
Egypt,1999,March,3,demonstrations,0,
Egypt,1999,April,4,demonstrations,2,
Egypt,1999,May,5,demonstrations,0,
Egypt,1999,June,6,demonstrations,0,
Egypt,1999,July,7,demonstrations,0,
Egypt,1999,August,8,demonstrations,0,
Egypt,1999,September,9,demonstrations,0,
Egypt,1999,October,10,demonstrations,0,
Egypt,1999,November,11,demonstrations,1,
Egypt,1999,December,12,demonstrations,1,
Egypt,2000,January,1,demonstrations,0,
Egypt,2000,February,2,demonstrations,4,
Egypt,2000,March,3,demonstrations,1,
Egypt,2000,April,4,demonstrations,0,
Egypt,2000,May,5,demonstrations,6,
Egypt,2000,June,6,demonstrations,0,
Egypt,2000,July,7,demonstrations,0,
Egypt,2000,August,8,demonstrations,0,
Egypt,2000,September,9,demonstrations,0,
Egypt,2000,October,10,demonstrations,12,
Egypt,2000,November,11,demonstrations,0,
Egypt,2000,December,12,demonstrations,0,
Egypt,2001,January,1,demonstrations,0,
Egypt,2001,February,2,demonstrations,0,
Egypt,2001,March,3,demonstrations,0,
Egypt,2001,April,4,demonstrations,1,
Egypt,2001,May,5,demonstrations,2,
Egypt,2001,June,6,demonstrations,7,
Egypt,2001,July,7,demonstrations,0,
Egypt,2001,August,8,demonstrations,0,
Egypt,2001,September,9,demonstrations,2,
Egypt,2001,October,10,demonstrations,8,
Egypt,2001,November,11,demonstrations,0,
Egypt,2001,December,12,demonstrations,0,
Egypt,2002,January,1,demonstrations,3,
Egypt,2002,February,2,demonstrations,0,
Egypt,2002,March,3,demonstrations,15,
Egypt,2002,April,4,demonstrations,23,
Egypt,2002,May,5,demonstrations,2,
Egypt,2002,June,6,demonstrations,0,
Egypt,2002,July,7,demonstrations,1,
Egypt,2002,August,8,demonstrations,0,
Egypt,2002,September,9,demonstrations,0,
Egypt,2002,October,10,demonstrations,0,
Egypt,2002,November,11,demonstrations,1,
Egypt,2002,December,12,demonstrations,1,
Egypt,2003,January,1,demonstrations,0,
Egypt,2003,February,2,demonstrations,0,
Egypt,2003,March,3,demonstrations,2,
Egypt,2003,April,4,demonstrations,0,
Egypt,2003,May,5,demonstrations,0,
Egypt,2003,June,6,demonstrations,0,
Egypt,2003,July,7,demonstrations,0,
Egypt,2003,August,8,demonstrations,0,
Egypt,2003,September,9,demonstrations,0,
Egypt,2003,October,10,demonstrations,0,
Egypt,2003,November,11,demonstrations,0,
Egypt,2003,December,12,demonstrations,0,
Egypt,2004,January,1,demonstrations,0,
Egypt,2004,February,2,demonstrations,0,
Egypt,2004,March,3,demonstrations,0,
Egypt,2004,April,4,demonstrations,0,
Egypt,2004,May,5,demonstrations,0,
Egypt,2004,June,6,demonstrations,0,
Egypt,2004,July,7,demonstrations,0,
Egypt,2004,August,8,demonstrations,0,
Egypt,2004,September,9,demonstrations,0,
Egypt,2004,October,10,demonstrations,0,
Egypt,2004,November,11,demonstrations,0,
Egypt,2004,December,12,demonstrations,0,
Egypt,2005,January,1,demonstrations,1,
Egypt,2005,February,2,demonstrations,1,
Egypt,2005,March,3,demonstrations,4,
Egypt,2005,April,4,demonstrations,6,
Egypt,2005,May,5,demonstrations,7,
Egypt,2005,June,6,demonstrations,0,
Egypt,2005,July,7,demonstrations,2,
Egypt,2005,August,8,demonstrations,1,
Egypt,2005,September,9,demonstrations,0,
Egypt,2005,October,10,demonstrations,5,
Egypt,2005,November,11,demonstrations,0,
Egypt,2005,December,12,demonstrations,2,
Egypt,2006,January,1,demonstrations,0,
Egypt,2006,February,2,demonstrations,0,
Egypt,2006,March,3,demonstrations,0,
Egypt,2006,April,4,demonstrations,0,
Egypt,2006,May,5,demonstrations,2,
Egypt,2006,June,6,demonstrations,0,
Egypt,2006,July,7,demonstrations,0,
Egypt,2006,August,8,demonstrations,0,
Egypt,2006,September,9,demonstrations,0,
Egypt,2006,October,10,demonstrations,0,
Egypt,2006,November,11,demonstrations,0,
Egypt,2006,December,12,demonstrations,0,
Egypt,2007,January,1,demonstrations,0,
Egypt,2007,February,2,demonstrations,1,
Egypt,2007,March,3,demonstrations,0,
Egypt,2007,April,4,demonstrations,0,
Egypt,2007,May,5,demonstrations,0,
Egypt,2007,June,6,demonstrations,0,
Egypt,2007,July,7,demonstrations,0,
Egypt,2007,August,8,demonstrations,0,
Egypt,2007,September,9,demonstrations,0,
Egypt,2007,October,10,demonstrations,0,
Egypt,2007,November,11,demonstrations,0,
Egypt,2007,December,12,demonstrations,0,
Egypt,2008,January,1,demonstrations,5,
Egypt,2008,February,2,demonstrations,5,
Egypt,2008,March,3,demonstrations,10,
Egypt,2008,April,4,demonstrations,6,
Egypt,2008,May,5,demonstrations,1,
Egypt,2008,June,6,demonstrations,3,
Egypt,2008,July,7,demonstrations,1,
Egypt,2008,August,8,demonstrations,0,
Egypt,2008,September,9,demonstrations,2,
Egypt,2008,October,10,demonstrations,1,
Egypt,2008,November,11,demonstrations,3,
Egypt,2008,December,12,demonstrations,6,
Egypt,2009,January,1,demonstrations,13,
Egypt,2009,February,2,demonstrations,1,
Egypt,2009,March,3,demonstrations,2,
Egypt,2009,April,4,demonstrations,2,
Egypt,2009,May,5,demonstrations,0,
Egypt,2009,June,6,demonstrations,0,
Egypt,2009,July,7,demonstrations,1,
Egypt,2009,August,8,demonstrations,1,
Egypt,2009,September,9,demonstrations,0,
Egypt,2009,October,10,demonstrations,0,
Egypt,2009,November,11,demonstrations,1,
Egypt,2009,December,12,demonstrations,2,
Egypt,2010,January,1,demonstrations,8,
Egypt,2010,February,2,demonstrations,4,
Egypt,2010,March,3,demonstrations,2,
Egypt,2010,April,4,demonstrations,9,
Egypt,2010,May,5,demonstrations,12,
Egypt,2010,June,6,demonstrations,6,
Egypt,2010,July,7,demonstrations,1,
Egypt,2010,August,8,demonstrations,1,
Egypt,2010,September,9,demonstrations,4,
Egypt,2010,October,10,demonstrations,1,
Egypt,2010,November,11,demonstrations,10,
Egypt,2010,December,12,demonstrations,6,
Egypt,2011,January,1,demonstrations,169,
Egypt,2011,February,2,demonstrations,319,
Egypt,2011,March,3,demonstrations,39,
Egypt,2011,April,4,demonstrations,56,
Egypt,2011,May,5,demonstrations,173,
Egypt,2011,June,6,demonstrations,126,
Egypt,2011,July,7,demonstrations,46,
Egypt,2011,August,8,demonstrations,22,
Egypt,2011,September,9,demonstrations,26,
Egypt,2011,October,10,demonstrations,143,
Egypt,2011,November,11,demonstrations,81,
Egypt,2011,December,12,demonstrations,54,
Egypt,2012,January,1,demonstrations,13,
Egypt,2012,February,2,demonstrations,17,
Egypt,2012,March,3,demonstrations,3,
Egypt,2012,April,4,demonstrations,11,
Egypt,2012,May,5,demonstrations,13,
Egypt,2012,June,6,demonstrations,23,
Egypt,2012,July,7,demonstrations,16,
Egypt,2012,August,8,demonstrations,13,
Egypt,2012,September,9,demonstrations,19,
Egypt,2012,October,10,demonstrations,18,
Egypt,2012,November,11,demonstrations,64,
Egypt,2012,December,12,demonstrations,67,
Egypt,2013,January,1,demonstrations,57,
Egypt,2013,February,2,demonstrations,118,
Egypt,2013,March,3,demonstrations,150,
Egypt,2013,April,4,demonstrations,82,
Egypt,2013,May,5,demonstrations,77,
Egypt,2013,June,6,demonstrations,121,
Egypt,2013,July,7,demonstrations,201,
Egypt,2013,August,8,demonstrations,190,
Egypt,2013,September,9,demonstrations,112,
Egypt,2013,October,10,demonstrations,121,
Egypt,2013,November,11,demonstrations,166,
Egypt,2013,December,12,demonstrations,126,
Egypt,2014,January,1,demonstrations,151,
Egypt,2014,February,2,demonstrations,44,
Egypt,2014,March,3,demonstrations,90,
Egypt,2014,April,4,demonstrations,102,
Egypt,2014,May,5,demonstrations,59,
Egypt,2014,June,6,demonstrations,40,
Egypt,2014,July,7,demonstrations,40,
Egypt,2014,August,8,demonstrations,44,
Egypt,2014,September,9,demonstrations,21,
