country,timestamp_utc,date,volume_article_count,avg_tone,conflict_article_count,disaster_article_count
Turkey,2026-09-14T12:15:00+00:00,2026-09-14,9,1.2122,4,1
Ukraine,2026-09-14T12:15:00+00:00,2026-09-14,40,-3.8649,31,0
Lebanon,2026-09-14T12:15:00+00:00,2026-09-14,6,-3.832,5,0
Israel,2026-09-14T12:15:00+00:00,2026-09-14,29,-2.5821,26,4
Egypt,2026-09-14T12:15:00+00:00,2026-09-14,12,-0.706,6,2
Sudan,2026-09-14T12:15:00+00:00,2026-09-14,5,-2.9358,3,2
Haiti,2026-09-14T12:15:00+00:00,2026-09-14,1,-3.7273,1,1
Thailand,2026-09-14T12:15:00+00:00,2026-09-14,8,-0.5022,0,0
Turkey,2026-09-14T12:00:00+00:00,2026-09-14,15,-0.0144,4,1
Ukraine,2026-09-14T12:00:00+00:00,2026-09-14,23,-3.6042,18,0
Lebanon,2026-09-14T12:00:00+00:00,2026-09-14,8,-2.2297,6,1
Israel,2026-09-14T12:00:00+00:00,2026-09-14,29,-2.2236,25,3
Egypt,2026-09-14T12:00:00+00:00,2026-09-14,8,-1.4106,5,0
Sudan,2026-09-14T12:00:00+00:00,2026-09-14,2,-0.3017,1,0
Haiti,2026-09-14T12:00:00+00:00,2026-09-14,0,,0,0
Thailand,2026-09-14T12:00:00+00:00,2026-09-14,10,-0.0195,3,0
Turkey,2026-09-14T11:45:00+00:00,2026-09-14,4,2.0862,1,1
Ukraine,2026-09-14T11:45:00+00:00,2026-09-14,38,-2.8822,34,2
Lebanon,2026-09-14T11:45:00+00:00,2026-09-14,6,-3.3986,6,1
Israel,2026-09-14T11:45:00+00:00,2026-09-14,24,-1.5397,22,1
Egypt,2026-09-14T11:45:00+00:00,2026-09-14,13,1.7911,3,0
Sudan,2026-09-14T11:45:00+00:00,2026-09-14,3,-3.7852,2,1
Haiti,2026-09-14T11:45:00+00:00,2026-09-14,0,,0,0
Thailand,2026-09-14T11:45:00+00:00,2026-09-14,11,-0.659,2,0
Turkey,2026-09-14T11:30:00+00:00,2026-09-14,7,0.2214,4,0
Ukraine,2026-09-14T11:30:00+00:00,2026-09-14,36,-2.9127,30,3
Lebanon,2026-09-14T11:30:00+00:00,2026-09-14,7,-2.4044,5,0
Israel,2026-09-14T11:30:00+00:00,2026-09-14,30,-2.9952,27,0
Egypt,2026-09-14T11:30:00+00:00,2026-09-14,8,-0.5365,4,2
Sudan,2026-09-14T11:30:00+00:00,2026-09-14,0,,0,0
Haiti,2026-09-14T11:30:00+00:00,2026-09-14,1,-3.7079,1,1
Thailand,2026-09-14T11:30:00+00:00,2026-09-14,17,-0.7538,4,2
Turkey,2026-09-14T11:15:00+00:00,2026-09-14,8,-1.0366,2,2
Ukraine,2026-09-14T11:15:00+00:00,2026-09-14,40,-3.2627,34,2
Lebanon,2026-09-14T11:15:00+00:00,2026-09-14,4,-3.5794,4,0
Israel,2026-09-14T11:15:00+00:00,2026-09-14,38,-1.6972,33,0
Egypt,2026-09-14T11:15:00+00:00,2026-09-14,15,-0.4679,4,1
Sudan,2026-09-14T11:15:00+00:00,2026-09-14,1,-7.6246,1,0
Haiti,2026-09-14T11:15:00+00:00,2026-09-14,1,-0.1701,0,1
Thailand,2026-09-14T11:15:00+00:00,2026-09-14,23,0.1786,4,1
Turkey,2026-09-14T11:00:00+00:00,2026-09-14,6,-1.5936,2,1
Ukraine,2026-09-14T11:00:00+00:00,2026-09-14,37,-3.1226,27,2
Lebanon,2026-09-14T11:00:00+00:00,2026-09-14,11,-1.9331,10,0
Israel,2026-09-14T11:00:00+00:00,2026-09-14,30,-1.2425,28,1
Egypt,2026-09-14T11:00:00+00:00,2026-09-14,14,0.123,7,3
Sudan,2026-09-14T11:00:00+00:00,2026-09-14,2,3.7996,2,0
Haiti,2026-09-14T11:00:00+00:00,2026-09-14,1,-0.5599,0,0
Thailand,2026-09-14T11:00:00+00:00,2026-09-14,11,-0.1559,3,1
Turkey,2026-09-14T10:45:00+00:00,2026-09-14,6,-2.2842,1,1
Ukraine,2026-09-14T10:45:00+00:00,2026-09-14,58,-2.8123,36,4
Lebanon,2026-09-14T10:45:00+00:00,2026-09-14,6,-4.242,6,0
Israel,2026-09-14T10:45:00+00:00,2026-09-14,38,-2.2114,31,2
Egypt,2026-09-14T10:45:00+00:00,2026-09-14,8,-2.4209,5,2
Sudan,2026-09-14T10:45:00+00:00,2026-09-14,0,,0,0
Haiti,2026-09-14T10:45:00+00:00,2026-09-14,1,-4.9231,1,0
Thailand,2026-09-14T10:45:00+00:00,2026-09-14,5,0.6617,3,0
Turkey,2026-09-14T10:30:00+00:00,2026-09-14,4,-2.6551,1,0
Ukraine,2026-09-14T10:30:00+00:00,2026-09-14,29,-1.7694,22,0
Lebanon,2026-09-14T10:30:00+00:00,2026-09-14,5,-5.2646,5,0
Israel,2026-09-14T10:30:00+00:00,2026-09-14,16,-4.0604,12,1
Egypt,2026-09-14T10:30:00+00:00,2026-09-14,8,-0.4618,4,2
Sudan,2026-09-14T10:30:00+00:00,2026-09-14,1,-3.0016,1,0
Haiti,2026-09-14T10:30:00+00:00,2026-09-14,1,0.0,1,0
Thailand,2026-09-14T10:30:00+00:00,2026-09-14,11,2.6748,0,0
