country,timestamp_utc,date,volume_article_count,avg_tone,conflict_article_count,disaster_article_count
Turkey,2026-09-14T13:00:00+00:00,2026-09-14,9,-3.7246,5,3
Ukraine,2026-09-14T13:00:00+00:00,2026-09-14,39,-5.3196,33,1
Lebanon,2026-09-14T13:00:00+00:00,2026-09-14,12,-3.5463,12,3
Israel,2026-09-14T13:00:00+00:00,2026-09-14,30,-4.3189,27,5
Egypt,2026-09-14T13:00:00+00:00,2026-09-14,15,-2.9343,9,1
Sudan,2026-09-14T13:00:00+00:00,2026-09-14,1,-0.5464,0,0
Haiti,2026-09-14T13:00:00+00:00,2026-09-14,2,0.1408,2,1
Thailand,2026-09-14T13:00:00+00:00,2026-09-14,12,1.1095,1,0
Turkey,2026-09-14T12:00:00+00:00,2026-09-14,15,-0.0144,4,1
Ukraine,2026-09-14T12:00:00+00:00,2026-09-14,23,-3.6042,18,0
Lebanon,2026-09-14T12:00:00+00:00,2026-09-14,8,-2.2297,6,1
Israel,2026-09-14T12:00:00+00:00,2026-09-14,29,-2.2236,25,3
Egypt,2026-09-14T12:00:00+00:00,2026-09-14,8,-1.4106,5,0
Sudan,2026-09-14T12:00:00+00:00,2026-09-14,2,-0.3017,1,0
Haiti,2026-09-14T12:00:00+00:00,2026-09-14,0,,0,0
Thailand,2026-09-14T12:00:00+00:00,2026-09-14,10,-0.0195,3,0
Turkey,2026-09-14T11:00:00+00:00,2026-09-14,6,-1.5936,2,1
Ukraine,2026-09-14T11:00:00+00:00,2026-09-14,37,-3.1226,27,2
Lebanon,2026-09-14T11:00:00+00:00,2026-09-14,11,-1.9331,10,0
Israel,2026-09-14T11:00:00+00:00,2026-09-14,30,-1.2425,28,1
Egypt,2026-09-14T11:00:00+00:00,2026-09-14,14,0.123,7,3
Sudan,2026-09-14T11:00:00+00:00,2026-09-14,2,3.7996,2,0
Haiti,2026-09-14T11:00:00+00:00,2026-09-14,1,-0.5599,0,0
Thailand,2026-09-14T11:00:00+00:00,2026-09-14,11,-0.1559,3,1
Turkey,2026-09-14T10:00:00+00:00,2026-09-14,14,-2.3373,4,1
Ukraine,2026-09-14T10:00:00+00:00,2026-09-14,109,-1.9165,80,4
Lebanon,2026-09-14T10:00:00+00:00,2026-09-14,17,-3.0374,14,2
Israel,2026-09-14T10:00:00+00:00,2026-09-14,53,-3.234,44,5
Egypt,2026-09-14T10:00:00+00:00,2026-09-14,17,-0.1697,11,1
Sudan,2026-09-14T10:00:00+00:00,2026-09-14,8,-2.7085,8,4
Haiti,2026-09-14T10:00:00+00:00,2026-09-14,0,,0,0
Thailand,2026-09-14T10:00:00+00:00,2026-09-14,12,0.0119,2,1
Turkey,2026-09-14T09:00:00+00:00,2026-09-14,17,0.3604,7,2
Ukraine,2026-09-14T09:00:00+00:00,2026-09-14,36,-1.2255,27,1
Lebanon,2026-09-14T09:00:00+00:00,2026-09-14,5,-4.0135,4,1
Israel,2026-09-14T09:00:00+00:00,2026-09-14,28,-2.8643,23,3
Egypt,2026-09-14T09:00:00+00:00,2026-09-14,16,-0.8124,10,1
Sudan,2026-09-14T09:00:00+00:00,2026-09-14,2,2.0614,2,0
Haiti,2026-09-14T09:00:00+00:00,2026-09-14,2,2.4971,0,1
Thailand,2026-09-14T09:00:00+00:00,2026-09-14,18,-1.2622,3,1
Turkey,2026-09-14T08:00:00+00:00,2026-09-14,14,0.8337,5,1
Ukraine,2026-09-14T08:00:00+00:00,2026-09-14,30,-0.2787,24,0
Lebanon,2026-09-14T08:00:00+00:00,2026-09-14,4,-0.286,2,0
Israel,2026-09-14T08:00:00+00:00,2026-09-14,20,-2.557,18,1
Egypt,2026-09-14T08:00:00+00:00,2026-09-14,8,-2.774,6,0
Sudan,2026-09-14T08:00:00+00:00,2026-09-14,0,,0,0
Haiti,2026-09-14T08:00:00+00:00,2026-09-14,0,,0,0
Thailand,2026-09-14T08:00:00+00:00,2026-09-14,6,-0.2905,4,0
Turkey,2026-09-14T07:00:00+00:00,2026-09-14,14,0.7498,3,1
Ukraine,2026-09-14T07:00:00+00:00,2026-09-14,33,-1.5273,25,2
Lebanon,2026-09-14T07:00:00+00:00,2026-09-14,2,-1.6516,1,0
Israel,2026-09-14T07:00:00+00:00,2026-09-14,17,-2.0675,16,3
Egypt,2026-09-14T07:00:00+00:00,2026-09-14,3,-1.0405,1,0
Sudan,2026-09-14T07:00:00+00:00,2026-09-14,0,,0,0
Haiti,2026-09-14T07:00:00+00:00,2026-09-14,0,,0,0
Thailand,2026-09-14T07:00:00+00:00,2026-09-14,7,2.5909,2,0
Turkey,2026-09-14T06:00:00+00:00,2026-09-14,10,-1.2937,4,1
Ukraine,2026-09-14T06:00:00+00:00,2026-09-14,26,-2.7238,25,6
Lebanon,2026-09-14T06:00:00+00:00,2026-09-14,1,-2.2587,1,0
Israel,2026-09-14T06:00:00+00:00,2026-09-14,7,-2.2267,6,0
Egypt,2026-09-14T06:00:00+00:00,2026-09-14,10,-1.6379,7,2
Sudan,2026-09-14T06:00:00+00:00,2026-09-14,1,-2.2587,1,0
Haiti,2026-09-14T06:00:00+00:00,2026-09-14,2,-1.6924,2,1
Thailand,2026-09-14T06:00:00+00:00,2026-09-14,1,4.8847,0,0
Turkey,2026-09-14T05:00:00+00:00,2026-09-14,7,-3.3445,5,2
Ukraine,2026-09-14T05:00:00+00:00,2026-09-14,20,-3.258,19,8
Lebanon,2026-09-14T05:00:00+00:00,2026-09-14,2,-1.466,1,0
Israel,2026-09-14T05:00:00+00:00,2026-09-14,15,-2.3402,12,2
Egypt,2026-09-14T05:00:00+00:00,2026-09-14,8,-4.3706,6,1
Sudan,2026-09-14T05:00:00+00:00,2026-09-14,1,-4.6329,1,0
Haiti,2026-09-14T05:00:00+00:00,2026-09-14,0,,0,0
Thailand,2026-09-14T05:00:00+00:00,2026-09-14,7,2.1506,1,0
Turkey,2026-09-14T04:00:00+00:00,2026-09-14,3,-1.5052,3,0
Ukraine,2026-09-14T04:00:00+00:00,2026-09-14,17,-2.7039,14,6
Lebanon,2026-09-14T04:00:00+00:00,2026-09-14,7,-0.6353,5,1
Israel,2026-09-14T04:00:00+00:00,2026-09-14,25,-2.2835,20,2
Egypt,2026-09-14T04:00:00+00:00,2026-09-14,15,-2.643,10,2
Sudan,2026-09-14T04:00:00+00:00,2026-09-14,0,,0,0
Haiti,2026-09-14T04:00:00+00:00,2026-09-14,0,,0,0
Thailand,2026-09-14T04:00:00+00:00,2026-09-14,24,-0.0346,7,0
Turkey,2026-09-14T03:00:00+00:00,2026-09-14,2,2.1736,0,0
Ukraine,2026-09-14T03:00:00+00:00,2026-09-14,16,-3.2326,15,6
Lebanon,2026-09-14T03:00:00+00:00,2026-09-14,0,,0,0
Israel,2026-09-14T03:00:00+00:00,2026-09-14,2,-3.8322,2,0
Egypt,2026-09-14T03:00:00+00:00,2026-09-14,11,0.4631,2,1
Sudan,2026-09-14T03:00:00+00:00,2026-09-14,1,-4.6329,1,0
Haiti,2026-09-14T03:00:00+00:00,2026-09-14,0,,0,0
Thailand,2026-09-14T03:00:00+00:00,2026-09-14,12,0.7532,0,0
Turkey,2026-09-14T02:00:00+00:00,2026-09-14,0,,0,0
Ukraine,2026-09-14T02:00:00+00:00,2026-09-14,9,-1.3061,7,2
Lebanon,2026-09-14T02:00:00+00:00,2026-09-14,1,-0.9079,1,0
Israel,2026-09-14T02:00:00+00:00,2026-09-14,12,-3.4107,9,4
Egypt,2026-09-14T02:00:00+00:00,2026-09-14,2,-1.9057,1,0
Sudan,2026-09-14T02:00:00+00:00,2026-09-14,1,-5.4113,1,0
Haiti,2026-09-14T02:00:00+00:00,2026-09-14,1,2.6495,0,0
