country,theme_code,category,article_count
Egypt,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,conflict,1107
Egypt,WB_2433_CONFLICT_AND_VIOLENCE,conflict,920
Egypt,ARMEDCONFLICT,conflict,814
Egypt,TERROR,conflict,459
Egypt,WB_2462_POLITICAL_VIOLENCE_AND_WAR,conflict,260
Egypt,UNREST_BELLIGERENT,conflict,240
Egypt,PROTEST,conflict,211
Egypt,WB_739_POLITICAL_VIOLENCE_AND_CIVIL_WAR,conflict,166
Egypt,NATURAL_DISASTER_FAMINE,disaster,131
Egypt,WB_2467_TERRORISM,conflict,61
Egypt,WB_2492_COUNTER_TERRORISM,conflict,59
Egypt,NATURAL_DISASTER_ICE,disaster,43
Egypt,NATURAL_DISASTER_VOLCANIC,disaster,41
Egypt,WB_2468_CONVENTIONAL_WAR,conflict,15
Egypt,NATURAL_DISASTER_DROUGHT,disaster,13
Egypt,NATURAL_DISASTER_EARTHQUAKE,disaster,13
Egypt,NATURAL_DISASTER_ICY,disaster,12
Egypt,NATURAL_DISASTER_FLOOD,disaster,9
Egypt,NATURAL_DISASTER_DROUGHTS,disaster,8
Egypt,NATURAL_DISASTER_ERUPTION,disaster,7
Egypt,WB_2510_WAR_CRIMES,conflict,7
Egypt,NATURAL_DISASTER_EXTREME_WEATHER,disaster,7
Egypt,NATURAL_DISASTER_FLOODS,disaster,7
Egypt,NATURAL_DISASTER_DROWNED,disaster,6
Egypt,NATURAL_DISASTER_MONSOON,disaster,5
Egypt,NATURAL_DISASTER_LAVA,disaster,5
Egypt,NATURAL_DISASTER_ERUPTIONS,disaster,5
Egypt,NATURAL_DISASTER_NATURAL_DISASTER,disaster,4
Egypt,NATURAL_DISASTER_FLOODING,disaster,4
Egypt,NATURAL_DISASTER_VOLCANO,disaster,4
Egypt,NATURAL_DISASTER_CYCLONE,disaster,4
Egypt,NATURAL_DISASTER_DROWNING,disaster,4
Egypt,NATURAL_DISASTER_EROSION,disaster,3
Egypt,NATURAL_DISASTER_TORNADO,disaster,3
Egypt,NATURAL_DISASTER_SEVERE_WEATHER,disaster,3
Egypt,NATURAL_DISASTER_TORNADOES,disaster,3
Egypt,NATURAL_DISASTER_NATURAL_DISASTERS,disaster,3
Egypt,NATURAL_DISASTER_DUST_STORM,disaster,3
Egypt,NATURAL_DISASTER_FLASH_FLOODS,disaster,3
Egypt,NATURAL_DISASTER_WILDFIRES,disaster,3
Egypt,NATURAL_DISASTER_FOREST_FIRES,disaster,2
Egypt,NATURAL_DISASTER_AVALANCHE,disaster,2
Egypt,NATURAL_DISASTER_POWERFUL_STORMS,disaster,2
Egypt,NATURAL_DISASTER_EARTHQUAKES,disaster,2
Egypt,NATURAL_DISASTER_HURRICANE,disaster,2
Egypt,NATURAL_DISASTER_TROPICAL_CYCLONES,disaster,2
Egypt,NATURAL_DISASTER_CYCLONES,disaster,2
Egypt,NATURAL_DISASTER_HEATWAVES,disaster,2
Egypt,NATURAL_DISASTER_HEATWAVE,disaster,2
Egypt,NATURAL_DISASTER_TSUNAMI,disaster,2
Egypt,NATURAL_DISASTER_FLOODED,disaster,2
Egypt,NATURAL_DISASTER_TYPHOON,disaster,1
Egypt,NATURAL_DISASTER_AVALANCHES,disaster,1
Egypt,NATURAL_DISASTER_WINTER_STORMS,disaster,1
Egypt,NATURAL_DISASTER_TIDAL_WAVE,disaster,1
Egypt,NATURAL_DISASTER_LANDSLIDES,disaster,1
Egypt,NATURAL_DISASTER_MUDFLOWS,disaster,1
Egypt,NATURAL_DISASTER_DROWN,disaster,1
Egypt,NATURAL_DISASTER_HEAVY_RAINS,disaster,1
Egypt,NATURAL_DISASTER_HEAT_WAVES,disaster,1
Egypt,NATURAL_DISASTER_HEAT_WAVE,disaster,1
Egypt,NATURAL_DISASTER_CHILL,disaster,1
Egypt,NATURAL_DISASTER_STORM_DAMAGE,disaster,1
Egypt,NATURAL_DISASTER_FLASH_FLOOD,disaster,1
Egypt,NATURAL_DISASTER_WATER_LEVEL,disaster,1
Haiti,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,conflict,163
Haiti,WB_2433_CONFLICT_AND_VIOLENCE,conflict,109
Haiti,ARMEDCONFLICT,conflict,86
Haiti,NATURAL_DISASTER_EARTHQUAKES,disaster,41
Haiti,NATURAL_DISASTER_ICE,disaster,39
Haiti,PROTEST,conflict,39
Haiti,NATURAL_DISASTER_NATURAL_DISASTERS,disaster,38
Haiti,TERROR,conflict,31
Haiti,NATURAL_DISASTER_EARTHQUAKE,disaster,22
Haiti,NATURAL_DISASTER_HYPOTHERMIA,disaster,21
Haiti,WB_2462_POLITICAL_VIOLENCE_AND_WAR,conflict,14
Haiti,UNREST_BELLIGERENT,conflict,12
Haiti,WB_2468_CONVENTIONAL_WAR,conflict,6
Haiti,NATURAL_DISASTER_HURRICANE,disaster,4
Haiti,NATURAL_DISASTER_EROSION,disaster,3
Haiti,WB_739_POLITICAL_VIOLENCE_AND_CIVIL_WAR,conflict,3
Haiti,WB_2467_TERRORISM,conflict,3
Haiti,NATURAL_DISASTER_LANDSLIDES,disaster,1
Haiti,WB_2492_COUNTER_TERRORISM,conflict,1
Haiti,NATURAL_DISASTER_HEAVY_RAIN,disaster,1
Haiti,NATURAL_DISASTER_HURRICANES,disaster,1
Haiti,NATURAL_DISASTER_NATURAL_DISASTER,disaster,1
Haiti,NATURAL_DISASTER_FLOOD,disaster,1
Haiti,NATURAL_DISASTER_HEAT_WAVE,disaster,1
Israel,ARMEDCONFLICT,conflict,3484
Israel,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,conflict,3457
Israel,WB_2433_CONFLICT_AND_VIOLENCE,conflict,2746
Israel,TERROR,conflict,2061
Israel,PROTEST,conflict,1161
Israel,WB_2462_POLITICAL_VIOLENCE_AND_WAR,conflict,1081
Israel,UNREST_BELLIGERENT,conflict,743
Israel,WB_2467_TERRORISM,conflict,523
Israel,WB_739_POLITICAL_VIOLENCE_AND_CIVIL_WAR,conflict,228
Israel,WB_2468_CONVENTIONAL_WAR,conflict,168
Israel,WB_2510_WAR_CRIMES,conflict,141
Israel,NATURAL_DISASTER_FAMINE,disaster,96
Israel,NATURAL_DISASTER_ICE,disaster,67
Israel,WB_2492_COUNTER_TERRORISM,conflict,60
Israel,NATURAL_DISASTER_EARTHQUAKE,disaster,53
Israel,NATURAL_DISASTER_EROSION,disaster,45
Israel,NATURAL_DISASTER_VOLCANIC,disaster,36
Israel,NATURAL_DISASTER_FLOODS,disaster,29
Israel,NATURAL_DISASTER_HURRICANE,disaster,26
Israel,NATURAL_DISASTER_CHILL,disaster,16
Israel,NATURAL_DISASTER_ERUPTION,disaster,14
Israel,NATURAL_DISASTER_FLOODING,disaster,14
Israel,NATURAL_DISASTER_FLOOD,disaster,14
Israel,NATURAL_DISASTER_LANDSLIDE,disaster,14
Israel,NATURAL_DISASTER_WILDFIRES,disaster,13
Israel,NATURAL_DISASTER_DROUGHT,disaster,9
Israel,NATURAL_DISASTER_FOREST_FIRES,disaster,7
Israel,NATURAL_DISASTER_TREMOR,disaster,7
Israel,NATURAL_DISASTER_TREMORS,disaster,7
Israel,NATURAL_DISASTER_STRONG_WINDS,disaster,6
Israel,NATURAL_DISASTER_ERUPTIONS,disaster,6
Israel,NATURAL_DISASTER_EARTHQUAKES,disaster,6
Israel,NATURAL_DISASTER_NATURAL_DISASTERS,disaster,6
Israel,NATURAL_DISASTER_LAVA,disaster,6
Israel,NATURAL_DISASTER_DROWNING,disaster,5
Israel,NATURAL_DISASTER_EXTREME_WEATHER,disaster,5
Israel,NATURAL_DISASTER_CYCLONE,disaster,5
Israel,NATURAL_DISASTER_HURRICANES,disaster,5
Israel,NATURAL_DISASTER_TROPICAL_CYCLONE,disaster,5
Israel,NATURAL_DISASTER_STORM_SYSTEM,disaster,5
Israel,NATURAL_DISASTER_TROPICAL_STORMS,disaster,5
Israel,NATURAL_DISASTER_TSUNAMI,disaster,5
Israel,NATURAL_DISASTER_VOLCANO,disaster,5
Israel,NATURAL_DISASTER_TIDAL_WAVE,disaster,4
Israel,NATURAL_DISASTER_WILDFIRE,disaster,4
Israel,NATURAL_DISASTER_FLOODED,disaster,4
Israel,NATURAL_DISASTER_HEATWAVES,disaster,4
Israel,NATURAL_DISASTER_MONSOON,disaster,3
Israel,NATURAL_DISASTER_DROWN,disaster,3
Israel,NATURAL_DISASTER_BLIZZARD,disaster,3
Israel,NATURAL_DISASTER_TYPHOON,disaster,2
Israel,NATURAL_DISASTER_HEAT_WAVES,disaster,2
Israel,NATURAL_DISASTER_HEAVY_RAIN,disaster,2
Israel,NATURAL_DISASTER_FLASH_FLOODS,disaster,2
Israel,NATURAL_DISASTER_DROWNED,disaster,2
Israel,NATURAL_DISASTER_HEAVY_SNOWFALL,disaster,2
Israel,NATURAL_DISASTER_HEAVY_WINDS,disaster,1
Israel,NATURAL_DISASTER_HEAVY_RAINS,disaster,1
Israel,NATURAL_DISASTER_NATURAL_DISASTER,disaster,1
Israel,NATURAL_DISASTER_DESERTIFICATION,disaster,1
Israel,NATURAL_DISASTER_AVALANCHE,disaster,1
Israel,NATURAL_DISASTER_FOREST_BURNED,disaster,1
Israel,NATURAL_DISASTER_DROUGHTS,disaster,1
Israel,NATURAL_DISASTER_WATER_LEVEL,disaster,1
Israel,NATURAL_DISASTER_TORNADO,disaster,1
Israel,NATURAL_DISASTER_ICY,disaster,1
Israel,NATURAL_DISASTER_HEAVY_WIND,disaster,1
Israel,NATURAL_DISASTER_WHITEOUT,disaster,1
Israel,NATURAL_DISASTER_VOLCANOES,disaster,1
Israel,NATURAL_DISASTER_FRIGID,disaster,1
Israel,NATURAL_DISASTER_POWERFUL_STORM,disaster,1
Israel,NATURAL_DISASTER_WINTER_STORMS,disaster,1
Israel,NATURAL_DISASTER_FLOOD_WATER,disaster,1
Israel,NATURAL_DISASTER_HEAT_WAVE,disaster,1
Israel,NATURAL_DISASTER_HEATWAVE,disaster,1
Israel,NATURAL_DISASTER_AVALANCHES,disaster,1
Lebanon,ARMEDCONFLICT,conflict,663
Lebanon,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,conflict,627
Lebanon,WB_2433_CONFLICT_AND_VIOLENCE,conflict,519
Lebanon,TERROR,conflict,398
Lebanon,PROTEST,conflict,176
Lebanon,WB_2462_POLITICAL_VIOLENCE_AND_WAR,conflict,175
Lebanon,UNREST_BELLIGERENT,conflict,109
Lebanon,WB_739_POLITICAL_VIOLENCE_AND_CIVIL_WAR,conflict,89
Lebanon,WB_2467_TERRORISM,conflict,62
Lebanon,NATURAL_DISASTER_FAMINE,disaster,35
Lebanon,WB_2468_CONVENTIONAL_WAR,conflict,30
Lebanon,NATURAL_DISASTER_NATURAL_DISASTERS,disaster,26
Lebanon,NATURAL_DISASTER_EARTHQUAKES,disaster,25
Lebanon,WB_2492_COUNTER_TERRORISM,conflict,21
Lebanon,WB_2510_WAR_CRIMES,conflict,18
Lebanon,NATURAL_DISASTER_ICE,disaster,18
Lebanon,NATURAL_DISASTER_VOLCANIC,disaster,17
Lebanon,NATURAL_DISASTER_EARTHQUAKE,disaster,10
Lebanon,NATURAL_DISASTER_EROSION,disaster,8
