country,date,synthetic_incoming_signals
Turkey,2026-09-07,38
Turkey,2026-09-08,73
Turkey,2026-09-09,62
Turkey,2026-09-10,81
Turkey,2026-09-11,85
Turkey,2026-09-12,39
Turkey,2026-09-13,37
Turkey,2026-09-14,43
Ukraine,2026-09-07,57
Ukraine,2026-09-08,208
Ukraine,2026-09-09,130
Ukraine,2026-09-10,142
Ukraine,2026-09-11,135
Ukraine,2026-09-12,115
Ukraine,2026-09-13,123
Ukraine,2026-09-14,101
Lebanon,2026-09-07,34
Lebanon,2026-09-08,41
Lebanon,2026-09-09,39
Lebanon,2026-09-10,51
Lebanon,2026-09-11,73
Lebanon,2026-09-12,35
Lebanon,2026-09-13,23
Lebanon,2026-09-14,20
Israel,2026-09-07,81
Israel,2026-09-08,297
Israel,2026-09-09,219
Israel,2026-09-10,200
Israel,2026-09-11,264
Israel,2026-09-12,227
Israel,2026-09-13,128
Israel,2026-09-14,78
Egypt,2026-09-07,33
Egypt,2026-09-08,91
Egypt,2026-09-09,64
Egypt,2026-09-10,72
Egypt,2026-09-11,142
Egypt,2026-09-12,123
Egypt,2026-09-13,60
Egypt,2026-09-14,51
Sudan,2026-09-07,15
Sudan,2026-09-08,25
Sudan,2026-09-09,19
Sudan,2026-09-10,18
Sudan,2026-09-11,31
Sudan,2026-09-12,26
Sudan,2026-09-13,19
Sudan,2026-09-14,14
Haiti,2026-09-07,9
Haiti,2026-09-08,17
Haiti,2026-09-09,22
Haiti,2026-09-10,27
Haiti,2026-09-11,17
Haiti,2026-09-12,13
Haiti,2026-09-13,9
Haiti,2026-09-14,8
Thailand,2026-09-07,17
Thailand,2026-09-08,67
Thailand,2026-09-09,62
Thailand,2026-09-10,73
Thailand,2026-09-11,63
Thailand,2026-09-12,54
Thailand,2026-09-13,45
Thailand,2026-09-14,45
