country,year,synthetic_passport_applications
Turkey,2017,2545
Turkey,2018,2615
Turkey,2019,2438
Turkey,2020,3081
Turkey,2021,3408
Turkey,2022,3540
Turkey,2023,3482
Turkey,2024,2410
Turkey,2025,3233
Turkey,2026,3575
Ukraine,2017,30
Ukraine,2018,45
Ukraine,2019,31
Ukraine,2020,45
Ukraine,2021,38
Ukraine,2022,44
Ukraine,2023,34
Ukraine,2024,44
Ukraine,2025,43
Ukraine,2026,42
Lebanon,2017,42
Lebanon,2018,54
Lebanon,2019,52
Lebanon,2020,46
Lebanon,2021,51
Lebanon,2022,53
Lebanon,2023,49
Lebanon,2024,48
Lebanon,2025,63
Lebanon,2026,52
Israel,2017,380
Israel,2018,498
Israel,2019,387
Israel,2020,451
Israel,2021,409
Israel,2022,469
Israel,2023,541
Israel,2024,498
Israel,2025,489
Israel,2026,412
Egypt,2017,320
Egypt,2018,312
Egypt,2019,327
Egypt,2020,320
Egypt,2021,305
Egypt,2022,293
Egypt,2023,241
Egypt,2024,271
Egypt,2025,382
Egypt,2026,255
Sudan,2017,180
Sudan,2018,184
Sudan,2019,154
Sudan,2020,160
Sudan,2021,159
Sudan,2022,192
Sudan,2023,159
Sudan,2024,123
Sudan,2025,123
Sudan,2026,150
Haiti,2017,9
Haiti,2018,10
Haiti,2019,12
Haiti,2020,8
Haiti,2021,11
Haiti,2022,13
Haiti,2023,13
Haiti,2024,10
Haiti,2025,10
Haiti,2026,11
Thailand,2017,488
Thailand,2018,708
Thailand,2019,622
Thailand,2020,627
Thailand,2021,609
Thailand,2022,762
Thailand,2023,660
Thailand,2024,625
Thailand,2025,590
Thailand,2026,685
