crisis_country,cbs_granularity,cbs_area_label,year,dutch_travellers_x1000,pct_of_dutch_population,total_trips_x1000,total_overnight_stays_x1000000,total_spend_eur_million
Egypt,region,Afrika (region),2021,196,1.3,198,2.8,346
Egypt,region,Afrika (region),2022,494,3.4,540,7.6,856
Egypt,region,Afrika (region),2023,532,3.6,588,7.7,922
Egypt,region,Afrika (region),2024,712,4.8,769,9.5,1205
Egypt,region,Afrika (region),2025,784,5.2,871,10.4,1915
Haiti,region,Midden- en Zuid-Amerika (region),2021,225,1.5,247,4.4,545
Haiti,region,Midden- en Zuid-Amerika (region),2022,457,3.1,509,8.2,1068
Haiti,region,Midden- en Zuid-Amerika (region),2023,322,2.2,361,5.8,897
Haiti,region,Midden- en Zuid-Amerika (region),2024,313,2.1,331,4.5,787
Haiti,region,Midden- en Zuid-Amerika (region),2025,361,2.4,409,6.7,1396
Israel,region,Azie (region),2021,153,1.1,169,2.9,241
Israel,region,Azie (region),2022,611,4.2,709,10.8,1111
Israel,region,Azie (region),2023,903,6.1,970,16.0,1922
Israel,region,Azie (region),2024,998,6.7,1073,18.0,2336
Israel,region,Azie (region),2025,1049,7.0,1105,17.6,3024
Lebanon,region,Azie (region),2021,153,1.1,169,2.9,241
Lebanon,region,Azie (region),2022,611,4.2,709,10.8,1111
Lebanon,region,Azie (region),2023,903,6.1,970,16.0,1922
Lebanon,region,Azie (region),2024,998,6.7,1073,18.0,2336
Lebanon,region,Azie (region),2025,1049,7.0,1105,17.6,3024
Sudan,region,Afrika (region),2021,196,1.3,198,2.8,346
Sudan,region,Afrika (region),2022,494,3.4,540,7.6,856
Sudan,region,Afrika (region),2023,532,3.6,588,7.7,922
Sudan,region,Afrika (region),2024,712,4.8,769,9.5,1205
Sudan,region,Afrika (region),2025,784,5.2,871,10.4,1915
Thailand,region,Azie (region),2021,153,1.1,169,2.9,241
Thailand,region,Azie (region),2022,611,4.2,709,10.8,1111
Thailand,region,Azie (region),2023,903,6.1,970,16.0,1922
Thailand,region,Azie (region),2024,998,6.7,1073,18.0,2336
Thailand,region,Azie (region),2025,1049,7.0,1105,17.6,3024
Turkey,country,Turkije (TR),2021,,,,,
Turkey,country,Turkije (TR),2022,287,2.0,350,4.4,387
Turkey,country,Turkije (TR),2023,285,1.9,304,3.7,401
Turkey,country,Turkije (TR),2024,298,2.0,308,3.2,342
Turkey,country,Turkije (TR),2025,266,1.8,272,2.7,401
Ukraine,region,Oost-Europa (region),2021,277,1.9,334,4.3,214
Ukraine,region,Oost-Europa (region),2022,421,2.9,473,4.4,266
Ukraine,region,Oost-Europa (region),2023,483,3.3,515,4.2,308
Ukraine,region,Oost-Europa (region),2024,501,3.3,537,4.0,296
Ukraine,region,Oost-Europa (region),2025,435,2.9,473,4.0,425
