icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,on_ground,velocity
4bc8c8,PGT741B,Turkey,1789370434,28.849,41.5425,7886.7,False,204.88
4bc8c9,PGT4VH,Turkey,1789370431,30.6633,40.3252,7574.28,False,167.84
4bc8c2,PGT29SB,Turkey,1789370408,27.2829,38.3279,3055.62,False,150.31
4bc8c3,PGT66NH,Turkey,1789370434,28.7871,37.6522,5882.64,False,188.8
4bc8d0,PGT166F,Turkey,1789370254,35.4123,39.3086,10363.2,False,214.27
4bc8d3,PGT48HQ,Turkey,1789370433,21.4228,43.6802,10355.58,False,213.56
4bc8a7,TCREG,Turkey,1789370435,30.8816,37.3111,4975.86,False,172.52
4bc8ce,PGT65G,Turkey,1789370435,20.1682,46.4434,10355.58,False,218.44
4bc8cb,PGT93HX,Turkey,1789370434,1.0716,51.9966,3329.94,False,144.92
4bc8e2,PGT93MQ,Turkey,1789370434,11.4679,49.5117,10675.62,False,245.48
4bc8da,PGT274C,Turkey,1789370433,22.0876,45.4638,10370.82,False,208.26
8851ec,THA324,Thailand,1789370434,84.1048,24.5485,11277.6,False,226.88
4bb4f4,MGH875,Turkey,1789370434,19.6327,49.8424,10363.2,False,225.4
4bb4f2,MGH196,Turkey,1789370435,18.922,47.1311,11582.4,False,215.87
4bb4f0,MGH877,Turkey,1789370434,29.0408,41.2376,10363.2,False,226.78
4bb4ee,MGH187,Turkey,1789370433,30.772,38.1559,8275.32,False,230.51
4bb4e3,MGH135,Turkey,1789370433,29.36,40.3598,10972.8,False,226.52
885302,THA133,Thailand,1789370433,100.0653,18.4009,8884.92,False,237.19
88530b,THA110,Thailand,1789370431,99.8584,15.4438,9585.96,False,234.35
88530e,THA107,Thailand,1789370434,100.7195,14.4339,4693.92,False,150.84
88530d,THA211,Thailand,1789370434,100.441,13.2686,4244.34,False,195.35
88530a,THA208,Thailand,1789370426,100.8249,13.9349,830.58,False,98.59
885315,THA571,Thailand,1789370434,100.7965,13.8272,792.48,False,90.21
4bc852,PGT86TT,Turkey,1789370434,28.2641,41.9151,9852.66,False,213.34
4bc84f,PGT713L,Turkey,1789370435,29.3936,40.6238,3764.28,False,149.47
